"산업중분류별(1)",산업중분류별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"산업중분류별(1)",산업중분류별(2),계,떨어짐,넘어짐,부딪힘,물체에 맞음,무너짐,끼임,절단·베임·찔림,감전,폭발·파열,화재,깔림·뒤집힘,이상온도 물체접촉,빠짐·익사,불균형 및 무리한 동작,화학물질 누출·접촉,산소결핍,사업장내 교통사고,사업장외 교통사고,업무상질병,체육행사등의 사고,폭력행위,동물상해,기타,분류불능,계,떨어짐,넘어짐,부딪힘,물체에 맞음,무너짐,끼임,절단·베임·찔림,감전,폭발·파열,화재,깔림·뒤집힘,이상온도 물체접촉,빠짐·익사,불균형 및 무리한 동작,화학물질 누출·접촉,산소결핍,사업장내 교통사고,사업장외 교통사고,업무상질병,체육행사등의 사고,폭력행위,동물상해,기타,분류불능,계,떨어짐,넘어짐,부딪힘,물체에 맞음,무너짐,끼임,절단·베임·찔림,감전,폭발·파열,화재,깔림·뒤집힘,이상온도 물체접촉,빠짐·익사,불균형 및 무리한 동작,화학물질 누출·접촉,산소결핍,사업장내 교통사고,사업장외 교통사고,업무상질병,체육행사등의 사고,폭력행위,동물상해,기타,분류불능,계,떨어짐,넘어짐,부딪힘,물체에 맞음,무너짐,끼임,절단·베임·찔림,감전,폭발·파열,화재,깔림·뒤집힘,이상온도 물체접촉,빠짐·익사,광산사고,불균형 및 무리한 동작,화학물질 누출·접촉,산소결핍,사업장내 교통사고,사업장외 교통사고,업무상질병,체육행사등의 사고,폭력행위,동물상해,기타,분류불능,계,떨어짐,넘어짐,부딪힘,물체에 맞음,무너짐,끼임,절단·베임·찔림,감전,폭발·파열,화재,깔림·뒤집힘,이상온도 물체접촉,빠짐·익사,불균형 및 무리한 동작,화학물질 누출·접촉,산소결핍,사업장내 교통사고,사업장외 교통사고,업무상질병,체육행사등의 사고,폭력행위,동물상해,기타,분류불능
"총계",소계,89848,14308,16420,6720,6677,379,12614,8752,312,210,229,2153,3315,25,2652,249,21,32,3760,9183,1156,289,295,32,65,102305,15558,19077,7315,7237,483,13196,9905,385,235,334,2171,3807,24,3834,372,17,74,4650,11473,1305,357,397,43,56,109242,15103,20101,7828,7358,610,13007,10734,327,245,245,2235,4062,13,4548,332,11,49,4868,15195,1467,424,403,41,36,108379,14406,20659,7503,7248,535,12894,10374,341,274,275,2201,3666,14,0,4343,324,14,55,5478,15996,836,435,435,40,33,122713,14775,23957,8219,8360,510,13668,11085,346,230,241,2436,3884,12,5651,327,7,69,6814,20435,662,465,496,23,41
"광업",소계,1897,27,16,31,22,5,31,0,1,5,0,5,2,0,3,1,0,0,1,1739,1,1,1,0,5,2225,26,22,29,33,7,40,4,1,5,0,10,3,1,4,0,0,0,2,2030,1,0,0,0,7,2543,35,24,29,28,4,32,5,2,6,0,10,2,1,4,0,0,1,1,2357,1,1,0,0,0,2753,26,14,12,34,3,19,3,1,2,1,9,3,1,0,2,2,0,0,4,2612,2,1,0,0,2,3336,24,10,12,28,3,34,1,1,0,0,6,2,0,1,1,0,0,5,3203,0,1,0,0,4
"광업",석탄광업 및 채석업,1653,4,6,5,6,2,5,0,0,5,0,0,0,0,1,0,0,0,0,1614,0,0,0,0,5,1926,2,2,9,3,0,4,0,0,1,0,1,0,0,2,0,0,0,0,1898,0,0,0,0,4,2196,4,0,1,7,1,7,0,1,5,0,1,0,0,1,0,0,0,0,2168,0,0,0,0,0,2395,3,1,0,4,2,4,0,0,1,0,1,0,0,0,0,0,0,0,0,2378,0,0,0,0,1,2923,1,0,3,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,2906,0,0,0,0,4
"광업",석회석·금속·비금속광업 및 기타광업,244,23,10,26,16,3,26,0,1,0,0,5,2,0,2,1,0,0,1,125,1,1,1,0,0,299,24,20,20,30,7,36,4,1,4,0,9,3,1,2,0,0,0,2,132,1,0,0,0,3,347,31,24,28,21,3,25,5,1,1,0,9,2,1,3,0,0,1,1,189,1,1,0,0,0,358,23,13,12,30,1,15,3,1,1,1,8,3,1,0,2,2,0,0,4,234,2,1,0,0,1,413,23,10,9,24,2,31,0,1,0,0,6,2,0,1,1,0,0,5,297,0,1,0,0,0
"제조업",소계,25333,2178,2461,1955,1938,59,7892,2378,68,103,110,626,633,3,546,110,7,23,265,3657,258,21,18,8,16,27377,2279,2747,1978,2095,89,7821,2679,100,107,110,595,715,1,762,140,5,38,359,4419,262,35,24,6,11,29274,2319,2900,2263,2138,108,7701,2768,81,114,98,638,686,1,905,132,5,36,406,5590,316,37,15,9,8,28840,2299,3089,2150,2163,85,7469,2638,96,138,103,632,648,3,0,900,123,2,44,366,5713,115,29,20,8,7,31709,2289,3354,2195,2333,72,7704,2850,89,144,91,668,691,0,1102,144,2,46,336,7444,64,51,29,2,9
"제조업",식료품제조업,2173,164,474,110,74,2,623,321,5,3,6,24,98,2,35,13,0,0,50,143,12,2,10,1,1,2592,172,563,156,103,6,611,449,6,5,9,34,126,0,60,10,1,0,44,204,14,1,16,0,2,2905,187,587,167,114,5,700,514,1,2,5,36,135,0,79,11,4,0,58,267,19,4,9,1,0,2920,172,609,135,118,12,669,518,7,3,5,34,128,0,0,109,13,0,1,65,299,5,4,10,2,2,3287,199,707,165,120,14,807,555,5,5,7,48,145,0,111,15,0,1,43,310,4,12,13,0,1
"제조업",담배제조업,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",섬유 또는 섬유제품 제조업(갑),299,23,57,21,15,2,83,33,1,0,0,2,7,0,10,0,0,0,10,31,2,0,0,1,1,373,28,87,20,12,2,79,57,2,0,3,4,13,0,7,0,0,0,6,47,4,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
